College Name,Address,District,Type
VIVEKANAND EDUCATION SOCIETY'S BUSINESS SCHOOL,"495-497, HASHU ADWANI MEMORIAL COMPLEX, COLLECTOR'S COLONY, CHEMUR , MUMBAI",MUMBAI SUBURBAN,Private-Self Financing
BHARATI VIDYAPEETH DEEMED TO BE UNVIERSITY,"BHARATI VIDYAPEETH BHAVAN, LAL BAHADUR SHSHTRI MARG, PUNE 411030",PUNE,Deemed to be University(Pvt)
VARDHAMAN POLYTECHNIC,"SURVEY NO. 9/3A, 14/3, KOLI, WASHIM ROAD, KARANJA (LAD), WASHIM",WASHIM,Private-Self Financing
WELINGKAR INSTITUTE OF MANAGEMENT DEVELOPMENT AND RESEARCH,"C.T.S 163/10 TO 179/10 LAKHAMSI NAPU ROAD, NEXT TO RA PAODAR COLLEGE NEAR MARTINGA CENTRAL RAILWAY STATION, MUMBAI",MUMBAI CITY,Private-Self Financing
INDIAN INSTITUTE OF MATERIALS MANAGEMENT,"PLOT NO. 102 & 104, SECTOR 15 INSTITUTIONAL AREA, SBD BELAPUR, NAVI MUMBAI",MUMBAI SUBURBAN,Private-Self Financing
SYBMBIOSIS CENTRE FOR DISTANCE LEARNING,"SYMBIOSIS BHAVAN, 1065 B, GOKHALE CROSS ROAD MODEL COLONY",PUNE,Private-Self Financing
MIT SCHOOL OF DISTANCE EDUCATION,"MIT ALANDI CAMPUS, MOSHI-ALANDI ROAD, OPPOSITE TO GANJANAN MAHARAJ SANSTHAN ALANDI PUNE, MAHARASHTRA 412105",PUNE,Private-Self Financing
PRATIBHA INSTITUTE OF BUSINESS MANAGEMENT,"BLOCK D-III, PLOT NO. 3, BEHIND MEHTA HOSPITAL, OFF MUMBAI- PUNE ROAD, MIDC,",PUNE,Private-Self Financing
BHARATI VIDYAPEETH INSTITUTE OF MANAGEMENT (MCA) KOLHAPUR,"BHARATI VIDYAPEETH UNIVERSITY INSTITUTE OF MANAGEMENT (MCA), KOLHAPUR KADAMWADI ROAD, KOLHAPUR-416003 MAHARASHTRA, INDIA",KOLHAPUR,Private-Self Financing
CSMSS CHH. SHAHU COLLEGE OF ENGINEERING,"KANCHANWADI, PAITHAN ROAD, AURANGABAD",AURANGABAD,Private-Self Financing
MATA MAHAKALI POLYTECHNIC,"BYE PASS ROAD,WARORA",CHANDRAPUR,Private-Self Financing
"RAMCHANDRA SANSKRITIK KRIDA MANDAL'S SHRI R.D.BHAKT POLYTECHNIC COLLEGE,JALNA","DAREGAON ROAD, JALNA",JALNA,Private-Self Financing
GOVERNMENT POLYTECHNIC ACHALPUR,AT: ACHALPUR,AMRAVATI,Government
MAULANA AZAD POLYTECHNIC,"603/4, NEW PACCHA PETH, ASHOK CHOWK",SOLAPUR,Private-Self Financing
DR.ARUN MOTGHARE COLLEGE OF MANAGEMENT,KOSRA KONDHA BHANDARA,BHANDARA,Private-Self Financing
NATIONAL INSTITUTE OF BANK MANAGEMENT,NIBM CAMPUS NIBM PO,PUNE,Private-Self Financing
"GOVERNMENT POLYTECHNIC, AMBAD.","MHADA COLONY, PACHOD ROAD, AMBAD.",JALNA,Government
"GOVERNMENT POLYTECHNIC, MALVAN","A/P: KUMBHARMATH, TAL: MALVAN DIST: SINDHUDURG",SINDHUDURG,Government
JSPM'S BHIVRABAI SAWANT POLYTECHNIC,"GAT NO.720,1&2 BAKORI PHATA PUNE-NAGAR ROAD, WAGHOLI",PUNE,Private-Self Financing
AKOLE TALUKA EDUCATION SOCIETY'S FACULTY OF POLYTECHNIC,"K G ROAD, AKOLE",AHMEDNAGAR,Private-Self Financing
KALA VIDYA MANDIR INSTITUTE OF TECHNOLOGY [POLYTECHNIC],"PLOT NO. M-3 RSC 19, MHADA WORLD BANK PROJECT GAEKWAD NAGAR MALAD [WEST] MUMBAI 400095",MUMBAI SUBURBAN,Private-Self Financing
"SANDIP FOUNDATION'S, SANDIP POLYTECHNIC","AT. POST MAHIRAVANI, TRIMBAK ROAD",NASHIK,Private-Self Financing
LATE.JULALSING MANGTU COLLEGE OF ENGINEERING {DIPLOMA},"KANNAD ROAD ,BYPASS T-POINT , CHALISGAON TAL.CHALISGAON DIST.JALGAON STATE MAHARASHTRA (PIN CODE-424101)",JALGAON,Private-Self Financing
ANJUMAN-I-ISLAM'S KALSEKAR TECHNICAL CAMPUS,"PLOT NOS. 2 & 3, SECTOR 16, KHANDAGAON, NEAR THANA NAKA",MUMBAI SUBURBAN,Private-Self Financing
ST. FRANCIS INSTITUTE OF TECHNOLOGY (ENGG. COLLEGE),"MT. POINSUR, S.V.P. ROAD, MANDAPESHWAR VILLAGE, BORIVLI (W)",MUMBAI CITY,Private-Self Financing
GOVERNMENT POLYTECHNIC AMRAVATI,"GADGE NAGAR, AMRAVATI",AMRAVATI,Government
RAJENDRA MANE POLYTECHNIC,AT AND POST AMBAV DEVRUKH TAL. SANGAMESHWAR DIST RATNAGIRI,RATNAGIRI,Private-Self Financing
INSTITUTE OF INFORMATION TECHNOLOGY & MANAGEMENT,"DNYANOPASAK COLLEGE CAMPUS, JINTUR ROAD, PARBHANI.",PARBHANI,Private-Self Financing
SANJIVANI PRATISTHAN INSTITUTE OF TECHNOLOGY,"AT-KURUND, POST-RALEGAN THERPAL, TAL-PARNER, DIST-AHMEDNAGAR",AHMEDNAGAR,Private-Self Financing
VITTHAL PATIL POLYTECHNIC,"A/P INAM DHAMNI, TAL:- MIRAJ, DIST:- SANGLI-416416",SANGLI,Private-Self Financing
RAJIV GANDHI INSTITUTE OF POLYTECHNIC,SVSS EDUCATIONAL CAMPUS NEAR BASWESHWAR CHOWK KATPUR ROAD LATUR,LATUR,Private-Self Financing
V J POLYTECHNIC,"AT- KHAMONA, TAH.- RAJURA, DIST.- CHANDRAPUR",CHANDRAPUR,Private-Self Financing
YASHODA TECHNICAL CAMPUS SATARA,"S. N. 242/1 AT POST - WADHE, TAL DIST - SATARA",SATARA,Private-Self Financing
NANASAHEB MAHADIK POLYTECHNIC INSTITUTE,GAT NO. 905 A/1 A/P - PETH NAKA,SANGLI,Private-Self Financing
VIDYA PRASARAK MANDAL'S COLLEGE OF ENGINEERING,"'JANADWEEPA,' COLLEGE CAMPUS CHENDANI BUNDER ROAD, THANE (W) 400601",THANE,Private-Self Financing
PADMABHOOSHAN VASANTRAODADA PATIL INSTITUTE OF TECHNOLOGY,SANGLI TASGAON ROAD,SANGLI,Private-Self Financing
TECHNICAL AND MEDICAL EDUCATION SOCIETY'S J. T. MAHAJAN POLYTECHNIC FAIZPUR,JIVARAM NAGAR NHAVIMARG FAIZPUR TAL:- YAWAL DIST:- JALGAON 425524,JALGAON,Private-Self Financing
NIT'S LATE ANNASAHEB PATIL POLYTECHNIC,"SVR. NO.155 /1A , HIRAWADI , BEHIND HYDRO DIVISION ,CANOL ROAD ,PANCHAVATI",NASHIK,Private-Self Financing
AGNIHOTRI SCHOOL OF TECHNOLOGY,"AGNIHOTRI COLLEGE CAMPUS, BAPUJI WADI , RAMNAGAR, WARDHA",WARDHA,Private-Self Financing
A.G.PATIL POLYTECHNIC INSTITUTE,"18/2/2A PRATAP NAGAR, OPP. SRP CAMP, VIJAPUR ROAD, SOLAPUR",SOLAPUR,Private-Self Financing
METROPOLITAN INSTITUTE OF TECHNOLOGY AND MANAGEMENT,AT VILLAGE SUKHALWAD NEAR SINDHUDURG RLY. STATION POST ORAS TAL. MALVAN DIST. SINDHDURG,SINDHUDURG,Private-Self Financing
SHREE SIDHIVINAYAK POLYTECHNIC,"SUR. NO. 86/1,,SIDHATEK BERDI, TAL. KARJAT,, AHMADNAGAR-414403",AHMEDNAGAR,Private-Self Financing
RASIKLAL M. DHARIWAL INSTITUTE OF TECHNOLOGY,"FATTECHAND MARG, CHINCHWADGAON",PUNE,Private-Self Financing
"V.J.SHINDE POLYTENIC COLLEGE, OSMANABAD","VARUDA ROAD, OSMANABAD",OSMANABAD,Private-Self Financing
TAKSHASHILA POLYTECHNIC. AMRAVATI,"UTTAM NAGAR, TQ.AMRAVATI, DIST.AMRAVATI (M.S.)444606",AMRAVATI,Private-Self Financing
FABTECH TECHNICAL CAMPUS - COLLEGE OF ENGINEERING AND RESEARCH,"PANDHARPUR ROAD, GAT NO. 565/1, SANGOLA, TALUKA - SANGOLA,",SOLAPUR,Private-Self Financing
"SHRIRAM INSTITUTE OF ENGINEERING AND TECHNOLOGY(POLYTECHNIC), PANIV","AT/P - PANIV, TAL- MALSHIRAS, DIST - SOLAPUR",SOLAPUR,Private-Self Financing
AGNEL CHARITIES AGNEL POLYTECHNIC,"SECTOR-9A, VASHI, NAVI MUMBAI DIST.THANE.",THANE,Private-Self Financing
SHRI SAI POLYTECHNIC,"NEAR KUNDAN PLAZA HOTEL, NAGPUR ROAD, CHANDRAPUR",CHANDRAPUR,Private-Self Financing
SHEILA RAHEJA SCHOOL OF BUSINESS MANAGEMENT & RESEARCH,"RAHEJA EDUCATION COMPLEX, NEAR PURUSHOTTAM HIGH SCHOOL, OPP.COLGATE GARDEN, KHER NAGAR, BANDRA (EAST), MUMBAI",MUMBAI SUBURBAN,Private-Self Financing
BHARATI VIDYAPEETH INSTITUTE OF TECHNOLOGY,"SECTOR-7, C.B.D., BELPADA, OPP. KHARGHAR RAILWAY STATION, NAVI MUMBAI",THANE,Private-Self Financing
GURU SAI POLYTECHNIC,"MOUZA - DATALA, RAMNAGAR, DATALA SQUARE, TAH. & DIST. - CHANDRAPUR",CHANDRAPUR,Private-Self Financing
K. K. WAGH INSTITUTE OF ENGINEERING EDUCATION & RESEARCH,"HIRABAI HARIDAS VIDYANAGARI, AMRUTDHAM, PANCHAVATI, NASHIK",NASHIK,Private-Self Financing
K.B.S.S'S.VAIRAG.R.R.POLYTECHNIC HASEGAON(K) TQ-KALLAM DIST-OSMANABAD.,A/P-HASEGAON(K).TQ-KALLAM. DIST-OSMANABAD.STATE-MAHARASHTRA.,OSMANABAD,Private-Self Financing
SHRI SHIVAJI POLYTECHNIC INSTITUTE,WASMAT ROAD,PARBHANI,Private-Self Financing
"RAJARSHI SHAHU MAHARAJ POLYTECHNIC, NASHIK","UDOJI MARATHA BOARDING CAMPUS, NEAR PUMPING STATION, GANGAPUR ROAD",NASHIK,Private-Self Financing
GOVERNMENT POLYTECHNIC MUMBAI,"49, KHERWADI ALIYAWAR JUNG MARG, BANDRA (EAST) MUMBAI",MUMBAI SUBURBAN,Government
SHETH SHRI OTARMAL SHESHMAL PARMAR COLLEGE OF DIPLOMA ENGG.,"S.NO.349/350 VILLAGE, NAGOTHANE, TAL. ROHA,DIST. RAIGAD.",RAIGAD,Private-Self Financing
MARATHWADA INSTITUTE OF MANAGEMENT AND RESEARCH,"GUT NO.166, BEED BYPASS ROAD, SATARA PARISAR, AURANGABAD - 431005",AURANGABAD,Private-Self Financing
"ALLANA INSTITUTE OF MANAGEMENT SCIENCES, PUNE","2390 B, KB HIDAYTULLAH ROAD, AZAM CAMPUS, CAMP,",PUNE,Private-Self Financing
SHRI JAYKUMAR RAWAL INSTITUTE OF TECHNOLOGY,"MANDAL ROAD , DONDIACHA",DHULE,Private-Self Financing
RAJIV GANDHI COLLEGE OF ENGINEERING,"VITTHAL NAGAR ,KOKATE VASTI, AT POST-KARJULE HARYA,TAL-PARNER,DIST-AHMEDNAGAR",AHMEDNAGAR,Private-Self Financing
N.B.S. INSTITUTE OF POLYTECHNIC,"S.NO. 225/B,225/C,225/D,225/E/6,225/5,233 NEAR POWER HOUSE, AUSA â 413 520 DIST. LATUR (M.S.)",LATUR,Private-Self Financing
"SAMAJBHUSHAN EKNATHRAO DHAKANE COLLEGE OF ENGINEERING, SHEVGAON",A/P:-RAKSHI TAL:-SHEVGAON,AHMEDNAGAR,Private-Self Financing
MATOSHRI USHATAI JADHAV INSTITUTE OF MANAGEMENT STUDIES & RESEARCH CENTRE,"DHAMANKAR NAKA, VARHALDEVI ROAD",THANE,Private-Self Financing
GOVERNMENT POLYTECHNICAL JALGAON,NATIONAL HIGHWAY NO 6 JILHAPETH JALGAON,JALGAON,Government
SHANTINIKETAN BUSINESS SCHOOL,"KHASRA NO. 22/3, MOUZA MHASALA, NR. UPPALWADI INDUSTRIAL ESTATE, KAMPTEE ROAD, NAGPUR",NAGPUR,Private-Self Financing
SANJAY GHODAWAT INSTITUTE,"GAT NO 582, TAL- HATKANANGALE, DIST-KOLHAPUR",KOLHAPUR,Private-Self Financing
"CHH. SHIVAJI POLYTECHNIC,VADUJ",A/P.VADUJ TAL. KHATAV DIST. SATARA,SATARA,Private-Self Financing
BHARATIYA VIDYA BHAVANS SARDAR PATEL INSTITUTE OF TECHNOLOGY,"BHAVANS CAMPUS, MUNSHI NAGAR, ANDHERI WEST MUMBAI",MUMBAI CITY,Private-Self Financing
"VIDYA PRASARINI SABHA'S COLLEGE OF ENGINEERING & TECHNOLOGY, LONAVALA","GAT NO. 685, MOUJE - VAKSAI, TAH.- MAVAL, DIST.- PUNE",PUNE,Private-Self Financing
"IDEMI, MUMBAI","S.T. TOPE MARG, SION, CHUNABHATTI (E)",MUMBAI CITY,Government
"BHARATI VIDYAPEETH'S COLLEGE OF ENGINEERING, LAVALE, PUNE","âBHARATI VIDYAPEETHâS GROUP OF INSTITUTE, LAVALEâ, TECHNICAL CAMPUS AT-LAVALE, TAL-MULSHI, DIST-PUNE",PUNE,Private-Self Financing
B.R. HARNE COLLEGE OF ENGINEERING & TECHNOLOGY,"SURVEY NO. 110/1A, 111/1,, 111/2B, 126/2, VILLAGE - KARAV, NEAR VANGANI STATION, TAH. AMBARNATH, DIST. THANE.",THANE,Private-Self Financing
MATOSHRI PRATISHTHAN'S VISHWABHARTI POLYTECHNIC INSTITUTE,JIJAU NAGAR NANDED LATUR HIGHWAY KHUPSARWADI POST VISHNUPURI NANDED,NANDED,Private-Self Financing
GOVERNMENT POLYTECHNIC SOLAPUR,AKKALKOT ROAD SHANTI CHOUK SOLAPUR,SOLAPUR,Government
SYMBIOSIS INSTITUTE OF TECHNOLOGY,"SYMBIOSIS KNOWLEDGE VILLAGE PROJECT ,TAL MULSHI ,VILLAGE LAVALE/NANDE , DIST .PUNE-411042",PUNE,Deemed to be University(Pvt)
DHARAMPETH POLYTECHNIC,"NEAR AMBAZARI GARDEN, NORTH AMBAZARI ROAD, NAGPUR",NAGPUR,Private-Self Financing
SIDDHIVINAYAK TECHNICAL CAMPUS,"GAT NO.133,134,140 SHEGAON-KHAMGAON ROAD, SHIRASGAON NILE, TQ:- SHEGAON",BULDHANA,Private-Self Financing
"BRAHMANAND KARANJEKAR INSTITUTE OF TECHNOLOGY, SAKOLI","NAGZIRA ROAD, SAKOLI",BHANDARA,Private-Self Financing
SIDDHARTH POLYTECHNIC,"672/1, SHEGAON ROAD",SANGLI,Private-Self Financing
"K.T.PATIL COLLEGE OF ENGINEEGING & TECHNOLOGY , OSMANABAD","JADHAVWADI ROAD ,OSMANABAD",OSMANABAD,Private-Self Financing
VIVEKANAND EDUCATION SOCIETY'S POLYTECHNIC,"SINDHI SOCIETY, CHEMBUR, MUMBAI-400071",MUMBAI CITY,Private-Self Financing
SANTOSH N. DARADE POLYTECHNIC,"AT POST BABHULGAON, TAL.YEOLA, DIST.NASIK",NASHIK,Private-Self Financing
AABASAHEB SHIVAJIRAO SITARAM PATIL INSTITUTE OF POLYTECHNIC,AT. CHINCHPURA PO. PIMPRI TAL. DHARANGAON DIST. JALGAON,JALGAON,Private-Self Financing
RAJ LAXMI FOUNDATION'S SAHAKAR MAHARSHI RAJARAM BAPU PATIL POLYTECHNIC INSTITUTE,"GAT NO. 190/2 , MADADGAON (TAKALI-KAJI), TAL & DIST AHMEDNAGAR.",AHMEDNAGAR,Private-Self Financing
"DR. PANJABRAO DESHMUKH POLYTECHNIC, AMRAVATI","SHIVAJI NAGAR,",AMRAVATI,Govt aided
ACHARYA SHRIMANANRAYAN POLYTECHNIC,"ARVI ROAD, PIPRI, WARDHA.",WARDHA,Govt aided
THEEM COLLEGE OF ENGINEERING,"AT VILLAGE BETEGAON, CHILLHAR RAOD, N.H.NO.8,NEAR UNION PARK BOISAR(E) TAL - PALGHAR DIST - THANE",THANE,Private-Self Financing
MAULANA MUKHTAR AHMAD NADVI TECHNICAL CAMPUS,"MANSOORA, MALEGAON-MANMAD ROAD, P.O.BOX 144,",NASHIK,Private-Self Financing
SINHGAD TECHNICAL EDUCATION SOCIETY'S SOU. VENUTAI CHAVAN POLYTECHNIC,"S. NO. 44/1, OFF. SINHGAD, ROAD, VADGAON (BK), PUNE",PUNE,Private-Self Financing
"ALL INDIA SHRI SHIVAJI MEMORIAL SOCIETY'S, COLLEGE OF HOTEL MANAGEMENT & CATERING TECHNOLOGY","55-56, SHIVAJINAGAR",PUNE,Private-Self Financing
SOMAYYA DIPLOMA IN ENGINEERING,"WADGAON WARD, CHANDRAPUR. (M.S.)",CHANDRAPUR,Private-Self Financing
PRIYADARSHINI BHAGWATI COLLEGE OF ENGINEERING,"HARPUR NAGAR, UMRER ROAD, NAGPUR - 440009",NAGPUR,Private-Self Financing
INDIRA INSTITUTE OF TECHNOLOGY (POLYTECHNIC),GAT NO. 18 & 22 AT POST VISHNUPURI TQ. & DIST. NANDED,NANDED,Private-Self Financing
"UNIVERSAL AI UNIVERSITY, KARJAT","VILLAGE- KUSHIVALI, TALUKA KARJAT",RAIGAD,Private-Self Financing
VIDYA PRATISHTHAN'S POLYTECHNIC COLLEGE,"VIDYANAGARI, TARANGWADI",PUNE,Private-Self Financing
"SHIVGANGA CHARITABLE TRUST, SANGLI'S VISHVESHWARYA TECHNICAL CAMPUS, FACULTY OF DIPLOMA ENGINEERING, PATGAON, MIRAJ.","AT/POST-PATGAON, MIRAJ-PANDHARPUR ROAD,",SANGLI,Private-Self Financing
SANJIVANI RURAL EDUCATION SOCIETY`S SANJIVANI COLLEGE OF ENGINEERING,AT: SAHAJANANDNAGAR POST- SHINGNAPUR TAL:-KOPARGAON DIST: AHMEDANAGR-423 603,AHMEDNAGAR,Private-Self Financing
PRIN. L.N. WELINGKAR INSTITUTE OF MANAGEMENT DEVELOPMENT & RESEARCH,"LAKHAMSI NAPOO ROAD OPP MATUNGA GYMKHANA, MATUNGA (CENTRAL RAILWAY) MUMBAI 400019",MUMBAI CITY,Private-Self Financing
KIRSAN'S MISSION INSTITUTE OF MANAGEMENT,GONDIA-GOREGAON ROAD GANKHAIRA TAH. GOREGAON DISTT. GONDIA,GONDIA,Private-Self Financing
JSPM NARHE TECHNICAL CAMPUS,"S.NO.12/2/2, 14/9, NARHE",PUNE,Private-Self Financing
SAIKRUPA POLYTECHNIC,SURVEY NO.244 GHARGAON TAH SHRIGONDA DIST. AHAMDANAGAR,AHMEDNAGAR,Private-Self Financing
SHRI MUKUNDRAO PANNASE POLYTECHNIC,"K.NO 42, PH.62 AT MAUZA MONDHA, PANJARI, HINGANA, NAGPUR.",NAGPUR,Private-Self Financing
G. M. VEDAK INSTITUTE OF TECHNOLOGY,"AT POST AND TALUKA TALA, DIST RAIGAD, MAHARASHTRA",RAIGAD,Private-Self Financing
"MARATHWADA INSTITUTE OF TECHNOLOGY, POLYTECHNIC ROTEGAON","AT. POST. ROTEGAON, NEAR RAILWAY STATION, TQ:VAIJAPUR, DIST:AURANGABAD",AURANGABAD,Private-Self Financing
BRAHMDEVDADA MANE POLYTECHNIC,"SOLAPUR-MANGALWEDHA-KOLHAPUR HIGHWAY, A/P.- BELATI, TAL.-NORTH SOLAPUR, DIST.-SOLAPUR",SOLAPUR,Private-Self Financing
SONATAI PANDAV POLYTECHNIC,"SURVEY NO.73,AT. LAMDHAM, POST-PARADSINGA,TAH-KATOL.",NAGPUR,Private-Self Financing
SANJAY EDUCATION SOCIETY'S POLYTECHNIC,A/P WADIBHOKAR,DHULE,Private-Self Financing
JAYWANT COLLEGE OF ENGINEERING AND POLYTECHNIC,"GAT NO,319/1,320,KILLEMACHNDRAGAD TAL- WALWA DIST- SANGLI",SANGLI,Private-Self Financing
"DNYANESHWAR POLYTECHNIC, BHANASHIVARE","AT POST BHANASHIVARE, TAL-NEWASA",AHMEDNAGAR,Private-Self Financing
DR. N. J. PAULBUDHE INSTITUTE OF TECHNOLOGY,"SURVEY NO. 479, A/P- NARAYANDOHO, TAL, DIST- AHMEDNAGAR",AHMEDNAGAR,Private-Self Financing
Y. B. PATIL POLYTECHNIC,"PCNTDA, SECTOR-29, AKURDI",PUNE,Private-Self Financing
ABHAYSINHRAJE BHONSLE INSTITUTE OF TECHNOLOGY (POLYTECHNIC),A/P-SHAHUNAGAR-SHENDRE TAL & DIST-SATARA,SATARA,Private-Self Financing
SHARADCHANDRAJI PAWAR POLYTECHNIC COLLEGE,"NEAR VIDEOCON COMMUNICATION LTD, BEED HIGHWAY ROAD,BHALGAON,DIST: AURANGABAD,431005",AURANGABAD,Private-Self Financing
"SAU.SHANTIDEVI CHAVAN INSTITUTE OF ENGINEERING AND TECHNOLOGY,POLYTECHNIC","S.NO-94/3/1&2, BHORAS,CHALISGAON, DIST-JALGAON",JALGAON,Private-Self Financing
PVG'S MAHARASHTRA INSTITUTE OF PRINTING TECHNOLOGY,"1786,SADASHIV PETH,PUNE",PUNE,Govt aided
AGNIHOTRI POLYTECHNIC,"NAGTHANA ROAD, NEAR BYPASS HIGHWAY, SINDI (MEGHE), WARDHA",WARDHA,Private-Self Financing
DON BOSCO INSTITUTE OF TECHNOLOGY,"PREMIER AUTOMOBILES ROAD, KURLA W - MUMBAI - 400 070",MUMBAI SUBURBAN,Private-Self Financing
SHREE SANTKRUPA INSTITUTE OF ENGINEERING & TECHNOLOGY,A/P:-GHOGAON (SHIVAJINAGAR) TAL:-KARAD DIST:-SATARA,SATARA,Private-Self Financing
K J COLLEGE OF ENGINEERING & MANAGEMENT RESEARCH,"SURVEY NO. 25&27 , PISOLI, NEAR BAPDEO GHAT,POST- YEWALEWADI TAL : HAVELI DIST : PUNE -411048",PUNE,Private-Self Financing
"GOVERNMENT POLYTECHNIC, NASHIK","NASHIK ROAD, NASHIK",NASHIK,Government
VPM'S MAHARSHI PARSHURAM COLLEGE OF ENGINEERING,"AT.POST. VELNESHWAR, HEDVAI - PALSHET ROAD",RATNAGIRI,Private-Self Financing
"GOVERNMENT POLYTECHNIC, OSMANABAD","TULJAPUR ROAD, OSMANABAD",OSMANABAD,Government
KAMLA NEHRU MAHAVIDYALAYA [MCA & MBA PROGRAMME],SAKKARDARA CHOWKNAGPUR,NAGPUR,Private-Self Financing
"BHIWSAN PATIL SHINDE SHIKSHAN GRAMIN VIKAS & BAHU. SANSTHA,SHINDE POLYTECHNIC,","SR.NO.643,647, ANJANI (BK) MEHKAR DOGON HIGHWAY ROAD, TQ-MEHKAR DIST-BULDHANA",BULDHANA,Private-Self Financing
DR. B.V. HIRAY COLLEGE OF MANAGMENT & RESEARCH CENTER,"KRUSHI NAGAR, A/P MALEGAON CAMP. DIST NASIK PIN- 423105",NASHIK,Private-Self Financing
LOTUS BUSINESS SCHOOL,"S.NO. 52/53, JAMBHE ROAD, PUNAVALE, CHINCHWAD, NEAR SAI PETROL PUMP, PUNE 411033",PUNE,Private-Self Financing
"ABASAHEB GARWARE INSTITUTE OF MANAGEMENT STUDIES, SANGLI","C/O. WOMEN'S EDUCATION SOCIETY, S.T.STAND ROAD, KHANBHAG,SANGLI",SANGLI,Private-Self Financing
MAHATMA PHULE INSTITUTE OF MANAGEMENT AND COMPUTER STUDIES,"A.M.COLLEGE CAMPUS, MANJARI ROAD,HADAPSAR, PUNE-28",PUNE,Private-Self Financing
ASHOK INSTITUTE OF ENGINEERING AND TECHNOLOGY,"ASHOKNAGAR TAL. SHRIRAMPUR, DIST. AHMEDNAGAR",AHMEDNAGAR,Private-Self Financing
SASMIRA'S INSTITUTE OF MAN-MADE TEXTILES,"SASMIRA, OFF SASMIRA MARG, WORLI, DR. ANNIE BESANT ROAD, MUMBAI - 400030",MUMBAI CITY,Govt aided
MES'S RAJARAM SHINDE INSTITUTE OF ENGGINEERING AND TECHNOLOGY,"MANDAR EDUCATION SOCIETY, AT - PEDHAMBE, POST - ALORE, TAL- CHIPLUN, DIST - RATNAGIRI.",RATNAGIRI,Private-Self Financing
"PVG'S COLLEGE OF ENGINEERING, TECHNOLOGY & MANAGEMENT","S.NO.44,VIDYANAGARI,SHIVDARSHAN,PARVATI,PUNE",PUNE,Private-Self Financing
"SONIYA GANDHI POLYTECHNIC, SHRIGONDA","BALAJINAGAR, SHRIGONDA",AHMEDNAGAR,Private-Self Financing
SHREE KAPILDHARA POLYTECHNIC,"S.NO. 231, AT POST WAKI, KAWNAI ROAD, TAHSIL IGATPURI",NASHIK,Private-Self Financing
"NAGAON EDUCATION SOCIETY,S GANGAMAI POLYTECHNIC, NAGAON, DHULE",AT & POST NAGAON TAL & DIST DHULE,DHULE,Private-Self Financing
SANT GAJANAN MAHARAJ COLLEGE OF ENGINEERING,"SITE - CHINCHEWADI, TAL- GADHINGLAJ,",KOLHAPUR,Private-Self Financing
"VINAYAKRAO PATIL SHIKSHAN PRASARAK MANDAL'S INSTITUTE OF ENGINEERING AND TECHNOLOGY, KANNAD","GUT NO. 30, HIWARKHEDA ROAD, KANNAD, DIST AURANGABAD (MAHARASHTRA) PIN:- 431103",AURANGABAD,Private-Self Financing
INSTITUTE OF CHEMICAL TECHNOLOGY,"NATHALAL PAREKH MARG, MATUNGA",MUMBAI CITY,Deemed to be University(Govt)
"VASANTRAO NAIK INSTITUTE OF TECHNOLOGY,VASARNI,NANDED","GUT NO 24,VASARNI,NANDED",NANDED,Private-Self Financing
SHARDA POLYTECHNIC COLLEGE,"AT.POST AURAD SHAHAJANI TQ.NILNAGA,DIST.LATUR(MS) PIN.413522",LATUR,Private-Self Financing
MANAV SCHOOL OF POLYTECHNIC,"SURAT NAGPUR HIGHWAY NH 6, VYALA, TAL BALAPUR",AKOLA,Private-Self Financing
DECCAN EDUCATION SOCIETYS TECHNICAL INSTITUTE,"BMCC ROAD, DECCAN GYMKHANA",PUNE,Govt aided
NATH NANGE BABA MULTI PURPOSE MANDAL,"AT POST- WAGHARE TAL.- PAROLA, DIST.-JALGAON",JALGAON,Private-Self Financing
AJITDADA PAWAR COLLEGE OF POLYTECHNIC,"SURVEY NO. 3&6/2, SHRIRAMPUR - NEWASA ROAD, A/P: WADALA MAHADEV; TAL: SHRIRAMPUR; DIST: AHMEDNAGAR",AHMEDNAGAR,Private-Self Financing
SDMVM'S ENGINEERING & TECHNOLOGY IN DIPLOMA (POLYTECHNIC),"HATTA, ZERO FATA, TQ. BASMAT, DIST -HINGOLI",HINGOLI,Private-Self Financing
SAU.SUNDARBAI MANIK ADSUL POLYTECHNIC,"AT-CHAS, CHAS-NIMBLAK BYPASS ROAD, AHMEDNAGAR.",AHMEDNAGAR,Private-Self Financing
KEYSTONE SCHOOL OF ENGINEERING,"SR. NO. 305/7, 306, 307/5 & 308/21 URULI DEVACHI, PUNE - 412308",PUNE,Private-Self Financing
"C. S. INSTITUTE OF TECHNOLOGY, DEORI, DIST- GONDIA","AT-PO-TA- DEORI, CHHATRAPATI SHIVAJI CAMPUS, CHICHGADH ROAD, DEORI, DIST- GONDIA.",GONDIA,Private-Self Financing
INDIRA GANDHI POLYTECHNIC BELWANDI(SUGAR),"A/P:BELWANDI(SUGAR),TAL:SHRIGONDA,DIST:AHMEDNAGAR,STATE:MAHARASHTRA",AHMEDNAGAR,Private-Self Financing
DR.D.Y.PATIL INSTITUTE OF MANAGEMENT & ENTREPRENEUR DEVELOPMENT,"SR.NO 27/A/1/2K, NEAR TALEGAON RAILWAY STATION, A/P - VARALE,TALEGAON TALUKA- MAVAL, DIST-PUNE 410507",PUNE,Private-Self Financing
